Name;x;y;z
Delta Crucis;-1.559;23.55;-38.9
Iota-1 Scorpii;-171;9.274;-144.4
Gamma Crucis;-0.809;5.914;-9.231
Caph;0.14;-3.488;5.844
Antares;-62.4;26.03;-33.61
Nunki;-24.41;-6.003;-12.42
Mizar;-2.01;5.242;7.996
Eta Draconis;-4.778;2.127;9.638
Zeta Persei;88.94;-54.43;64.86
Mu Velorum;2.956;8.935;-10.99
Hamal;3.982;-6.424;3.281
Epsilon Persei;44.38;-26.18;43.26
Beta Trianguli Australis;-1.92;1.163;-4.488
Epsilon Scorpii;-6.446;2.027;-4.608
Achernar;4.023;-8.857;-15.12
Zeta Puppis;115;68.83;-112.5
Alpha Trianguli Australis;-17.7;5.693;-48.5
Algieba;6.245;13.39;5.331
Alpha Columbae;27.66;-2.464;-18.79
Alpha Muscae;-2.198;13.43;-35.7
Gamma Cygni;-118.3;-84.55;123.1
Zeta Centauri;-15.75;28.55;-35.33
Polaris;0.426;-0.547;53.92
Delta Corvi;-1.369;10.44;-3.123
Delta Cassiopeiae;2.256;-5.741;10.79
57 Andromedae;16.88;-28.12;29.88
Delta Orionis;113.7;-13.95;-0.598
Eta Ophiuchi;-9.886;2.175;-2.85
Theta-1 Eridani;10.79;-10.96;-13.04
Alkaid;-3.711;7.318;9.545
Dubhe;1.778;7.095;13.61
Sigma Scorpii;-75.24;34.61;-39.67
Mirphak;37.11;-29.97;56.57
Epsilon Leonis;15.84;23.9;12.63
Rho Puppis;6.068;3.775;-3.228
Gamma Hydri;-5.125;14.29;-6.498
Beta Librae;-14.95;12.88;-3.261
Gamma Virginis;-0.872;4.742;-0.122
Rasalgethi;-45.39;9.101;11.88
Gamma Gruis;-10.54;-17.19;-15.4
Deneb;-216.4;-183.9;286.8
Vindemiatrix;-3.363;12.09;2.43
Beta Herculis;-15.89;6.563;6.767
Delta Velorum;4.335;3.792;-8.136
Beta Aurigae;7.265;-0.015;7.251
Mu-1 Scorpii;-77.33;23.69;-63.29
Delta Sagittarii;-33.01;-3.032;-19.01
Beta Lupi;-33.55;33.98;-44.74
Theta Carinae;7.823;22.39;-49.48
Mirach;6.069;-19.33;14.51
Gamma Centauri;-1.929;10.53;-12.3
Gamma Persei;13.76;-13.19;25.77
Regulus;4.435;8.374;2.009
Gamma Lupi;-43.06;31.54;-46.67
Alcyone;35.14;-22.93;18.77
Theta Scorpii;-24.75;2.456;-23.19
Beta Crucis;-4.599;21.77;-38.05
Kappa Scorpii;-44.92;3.438;-36.52
Scheat;-5.337;-21.32;11.72
Alderamin;-1.819;-2.14;5.415
Alnilam;166.8;-17.38;-3.519
Delta Ophiuchi;-19.02;9.445;-1.371
Hadar;-16.7;27.83;-57.07
Alioth;-1.323;5.506;8.383
Gamma Trianguli Australis;-6.336;5.368;-21.28
Gamma Ursae Minoris;-14.38;11.99;57.05
Tarazed;-50.63;-25.31;10.61
Algol;6.413;-5.971;7.605
Delta Scorpii;-40.17;23.11;-19.31
Kaus Australis;-14.84;-1.571;-10.21
Alpha Arae;-19.37;2.392;-23.16
Nihal;18.43;-2.57;-7.053
Alphard;13.52;17.24;-3.336
Spica;-11.68;29.96;-6.344
Markab;-4.02;-16.36;4.578
Mu Geminorum;26.63;2.677;11.1
12 Canum Venaticorum;-2.616;10.48;8.54
Ankaa;0.819;-7.108;-6.512
Eta Centauri;-17.95;22.26;-25.89
Algenib;2.32;-40.12;10.91
Alpha Hydri;2.102;-3.687;-7.839
Beta Ophiuchi;-10.19;0.736;0.816
Delta Leonis;1.344;6.621;2.529
Canopus;23.56;2.471;-31.09
Beta Canis Minoris;19.55;7.816;3.068
Beta Carinae;3.204;3.597;-13.03
Iota Centauri;-2.024;5.515;-4.38
Beta Gruis;-4.812;-13.72;-15.53
Kappa Velorum;24.57;29.83;-55.21
Zeta Tauri;48.4;-4.736;18.8
Acrux;-2.1;18.02;-35.75
Alhena;12.4;2.059;3.699
Gamma Eridani;23.16;-13.64;-6.457
Alphekka;-6.722;4.943;4.199
Alpheratz;0.388;-10.6;5.9
Delta Cygni;-13.53;-6.67;15.15
Alpha Tucanae;-5.278;-11.13;-21.56
Saiph;88.79;-4.748;-15.15
Shedir;2.77;-15.51;23.84
Beta Draconis;-27.41;3.556;35.76
Beta Arae;-42.16;6.433;-62.13
Merak;1.38;5.319;8.267
Bellatrix;29.84;-4.576;3.36
Iota Carinae;28.86;33.52;-74.41
Epsilon Cygni;-5.591;-4.955;5.033
Eta Pegasi;-7.651;-21.91;13.52
Etamin;-11.49;0.17;14.44
Alnair;-4.054;-7.644;-9.266
Theta Centauri;-3.221;5.219;-4.517
Aldebaran;7.285;-2.8;2.313
Alnath;14.22;-2.107;7.843
Beta Trianguli;6.818;-10.75;8.909
Shaula;-69.61;8.052;-53.01
9 Librae;-6.292;6.813;-2.667
Adhara;45.59;11.92;-26.09
Enif;-46.26;-68.7;14.42
Alpha Geminorum;5.011;2.194;3.404
Pi Scorpii;-44.52;26;-25.27
Beta Aquarii;-45.93;-60.71;-7.426
Arneb;151.7;-18.14;-49.13
Psi Ursae Majoris;2.853;12.78;12.87
Iota Aurigae;51.56;-14.54;35.01
Gamma Cassiopeiae;9.181;-36.34;66.84
Pi Sagittarii;-49;-15.39;-19.74
Kochab;-2.926;3.173;15.21
8 Scorpii;-54.74;29.9;-22.46
Zeta Ophiuchi;-52.65;19.91;-10.5
Beta Eridani;10.78;-2.496;-0.985
Tau Scorpii;-44.18;16.98;-25.4
Pi Puppis;103;36.04;-82.52
Rigel;93.75;-18.84;-13.78
Upsilon Carinae;46.84;71.52;-183.9
Beta Canis Majoris;59.1;5.873;-19.25
Menkar;19.59;-19.21;1.962
Alpha Lupi;-30.12;35.28;-50.43
Phad;0.167;6.188;8.427
Rasalhague;-5.664;0.622;1.27
Delta Canis Majoris;191.8;59;-99.58
Izar;-15.39;17.55;11.93
Alpha Pavonis;-10.11;-7.458;-19.15
Gamma-2 Velorum;60.14;38.14;-77.27
Zeta Aquilae;-9.694;-2.844;2.493
Alnitak;101.8;-8.564;-3.464
Iota Orionis;163.9;-17.64;-17.07
Tau Puppis;14.15;3.133;-17.65
Unukalhai;-7.547;5.077;1.024
Upsilon Scorpii;-51.15;6.56;-39.27
Theta Aurigae;17.24;-0.021;13.1
Beta Corvi;-2.396;15.85;-6.936
Lambda Sagittarii;-8.661;-1.062;-4.147
Betelgeuse;52.98;-1.116;6.889
Delta Centauri;-1.141;31.27;-38.25
